"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Usp9x.2",0.641894858384952,-0.0112690747709225,0.941,0.893,1,"2","Usp9x"
"Rsl1.2",0.641912385432299,-0.0896311714077447,0.053,0.062,1,"2","Rsl1"
"Egf.2",0.642616365792968,-0.100836626115625,0.043,0.05,1,"2","Egf"
"Tbl1xr1.2",0.643047744176223,-0.0650399426256631,0.862,0.841,1,"2","Tbl1xr1"
"Adk.2",0.643182662558068,0.069498743890603,0.91,0.903,1,"2","Adk"
"Pnkp.2",0.643227684298568,-0.0115628535341821,0.697,0.644,1,"2","Pnkp"
"Espl1.2",0.643693146874251,-0.136905880823147,0.255,0.267,1,"2","Espl1"
"Ablim1.2",0.643815937390844,0.345227768783843,0.165,0.155,1,"2","Ablim1"
"Fdps.2",0.644736058918586,-0.066103985139299,0.995,0.995,1,"2","Fdps"
"Esyt1.2",0.644791524698317,-0.0308693015365868,0.09,0.102,1,"2","Esyt1"
"Mtfr1l.2",0.64501043566351,0.029090517901877,0.947,0.918,1,"2","Mtfr1l"
"Ints12.2",0.645126044552608,-0.032984925545342,0.426,0.446,1,"2","Ints12"
"Hey1.2",0.645178646050678,0.250321420903983,0.388,0.377,1,"2","Hey1"
"Gas2l3.2",0.645294685727375,-0.0136576915908748,0.271,0.247,1,"2","Gas2l3"
"Zbtb37.2",0.645366669587036,0.0648738867500229,0.367,0.346,1,"2","Zbtb37"
"Gm10031.2",0.646387060996485,-0.138962550883331,0.144,0.155,1,"2","Gm10031"
"Khsrp.2",0.646410600749683,-0.0670280562311646,0.543,0.553,1,"2","Khsrp"
"Pikfyve.2",0.646768350245628,-0.105600762402027,0.468,0.479,1,"2","Pikfyve"
"Slc39a10.2",0.64705887405478,0.0324834290871228,0.67,0.622,1,"2","Slc39a10"
"Gabra5.2",0.647126284359027,0.0614348027832516,0.085,0.095,1,"2","Gabra5"
"Sdk2.2",0.647415043797191,0.18369055283425,0.154,0.143,1,"2","Sdk2"
"Gng3.2",0.647498414971206,0.2838272241197,0.064,0.056,1,"2","Gng3"
"Calcoco1.2",0.647506914278384,0.166963466428801,0.404,0.395,1,"2","Calcoco1"
"Naxd.2",0.647633210587893,0.00555250035602839,0.979,0.971,1,"2","Naxd"
"Pnpla2.2",0.647726871562045,-0.0844755141739879,0.537,0.548,1,"2","Pnpla2"
"Golga4.2",0.648000554655849,-0.0236013010725475,0.761,0.774,1,"2","Golga4"
"Mvp.2",0.648007490136931,-0.0337224302570882,0.144,0.157,1,"2","Mvp"
"Mdc1.2",0.648112931635004,-0.108490198659061,0.362,0.372,1,"2","Mdc1"
"Gm49164.2",0.648157213703537,-0.0619476127220304,0.027,0.033,1,"2","Gm49164"
"Ppp6r1.2",0.64830356420795,0.141647213160291,0.287,0.273,1,"2","Ppp6r1"
"Ppp4r1.2",0.648442964042424,-0.00875004703525195,0.734,0.748,1,"2","Ppp4r1"
"Mamdc4.2",0.648616688713904,0.314200873163219,0.059,0.051,1,"2","Mamdc4"
"2010110K18Rik.2",0.648616688713904,0.314200873163219,0.059,0.051,1,"2","2010110K18Rik"
"Zfp40.2",0.649699803041328,-0.0381008707676624,0.117,0.129,1,"2","Zfp40"
"Gmnn.2",0.649707960647622,-0.0960371371992792,0.569,0.573,1,"2","Gmnn"
"Pim3.2",0.649729230553463,0.0214324525419561,0.473,0.461,1,"2","Pim3"
"Ubl4a.2",0.650019312666424,-0.067437326503109,0.92,0.916,1,"2","Ubl4a"
"A530017D24Rik.2",0.650489283623904,-0.0242950712426326,0.096,0.107,1,"2","A530017D24Rik"
"Nanos3.2",0.650516290053867,0.333867906619295,0.053,0.046,1,"2","Nanos3"
"Psme2b.2",0.650516290053867,0.333867906619295,0.053,0.046,1,"2","Psme2b"
"Cntd1.2",0.650516290053867,0.333867906619295,0.053,0.046,1,"2","Cntd1"
"Emb.2",0.650516290053867,0.333867906619295,0.053,0.046,1,"2","Emb"
"Gm16897.2",0.65061379141931,1.4764723020621,0.005,0.003,1,"2","Gm16897"
"Casc1.2",0.65061379141931,1.4764723020621,0.005,0.003,1,"2","Casc1"
"Gm17399.2",0.65061379141931,1.4764723020621,0.005,0.003,1,"2","Gm17399"
"AC119264.1.2",0.65061379141931,1.4764723020621,0.005,0.003,1,"2","AC119264.1"
