"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nap1l5",0,-7.33917930000194,0.01,0.93,0,"0","Nap1l5"
"Trap1a",1.35679424882581e-234,-7.0081811626367,0.013,0.639,2.1467198604922e-230,"0","Trap1a"
"Mageb16",1.12328382667385e-227,-7.45152380814482,0.006,0.604,1.77725967056336e-223,"0","Mageb16"
"Gstp1",2.84916507863958e-223,-3.24491698512403,0.185,0.952,4.50794898742354e-219,"0","Gstp1"
"8030474K03Rik",1.96064987140447e-173,-7.81882145606652,0.003,0.465,3.10214022653616e-169,"0","8030474K03Rik"
"Nnat",4.02231994072153e-152,-6.36261145564529,0.028,0.496,6.36411461020961e-148,"0","Nnat"
"Gm4779",5.6023559613632e-136,-6.80776626755752,0.003,0.374,8.86404760206885e-132,"0","Gm4779"
"Zwint",5.11344666924213e-129,-1.25819767337156,0.95,0.998,8.0904953200749e-125,"0","Zwint"
"Gria3",1.33719696718021e-119,5.62206245451024,0.691,0.015,2.11571304147253e-115,"0","Gria3"
"Ppa1",9.15544819280596e-113,-1.30012800858936,0.845,0.978,1.44857501306576e-108,"0","Ppa1"
"Tnfrsf1a",1.57883218664304e-107,3.04188574337559,0.748,0.119,2.49802828570662e-103,"0","Tnfrsf1a"
"Dbi",1.89463079685112e-104,0.54521728725573,1,1,2.99768484677784e-100,"0","Dbi"
"Ifitm3",6.82410027085227e-103,-2.86378057317399,0.265,0.725,1.07970914485425e-98,"0","Ifitm3"
"Timp1",7.76583472067556e-100,-3.80425748178038,0.035,0.394,1.22871036950529e-95,"0","Timp1"
"Tmem176a",4.12625143133187e-98,1.29301024760913,0.999,0.976,6.52855501465329e-94,"0","Tmem176a"
"Anapc16",1.05487942808459e-97,-1.08188590233835,0.836,0.993,1.66903023111544e-93,"0","Anapc16"
"H2afy2",1.22130259881071e-96,-1.74164217839413,0.475,0.888,1.93234497183831e-92,"0","H2afy2"
"Gm10036",1.16210820788449e-95,-0.949928819337545,0.93,0.996,1.83868760651484e-91,"0","Gm10036"
"Cisd1",2.84999249926561e-95,-0.832723328731335,0.987,1,4.50925813233804e-91,"0","Cisd1"
"Ptn",9.39507479598576e-94,0.805102423011846,1,1,1.48648873422087e-89,"0","Ptn"
"Fos",1.66729236994784e-93,2.16530086986753,0.933,0.573,2.63798998773148e-89,"0","Fos"
"Serinc1",8.13646265894199e-90,-0.891464503917961,0.955,0.998,1.2873511218978e-85,"0","Serinc1"
"Asf1a",1.00948410118489e-89,-1.24883041848493,0.761,0.96,1.59720574489474e-85,"0","Asf1a"
"mt-Nd1",1.45566028660965e-87,0.325802197456028,1,1,2.30314570547379e-83,"0","mt-Nd1"
"Hnrnph3",1.4300296158974e-86,-1.40748041081092,0.615,0.921,2.26259285827287e-82,"0","Hnrnph3"
"Hexa",4.00916704520376e-86,1.48070062593756,0.93,0.628,6.34330409892139e-82,"0","Hexa"
"Egr1",5.55233554614046e-86,1.32433985085751,0.985,0.819,8.78490530110343e-82,"0","Egr1"
"Ier2",9.38163690388979e-85,1.72319435722022,0.951,0.74,1.48436259093344e-80,"0","Ier2"
"Gm26917",2.93712664355457e-81,-1.11025549853068,0.974,1,4.64712177543204e-77,"0","Gm26917"
"Metrn",4.12486946653597e-81,0.778237928306992,1,0.996,6.52636846995321e-77,"0","Metrn"
"Fam213a",1.32421634781038e-80,-3.95532345597138,0.022,0.306,2.09517510550558e-76,"0","Fam213a"
"Eif4ebp2",3.42919658990224e-80,-1.05180956182453,0.812,0.978,5.42567484454332e-76,"0","Eif4ebp2"
"mt-Co3",4.08192635006319e-80,0.330541183847972,1,1,6.45842387106998e-76,"0","mt-Co3"
"Skap2",8.18228101784654e-80,0.929515571549816,0.999,0.956,1.29460050264368e-75,"0","Skap2"
"Tfam",2.74336821382281e-79,-1.40639803064695,0.576,0.894,4.34055718791045e-75,"0","Tfam"
"Gnas",8.71543383353365e-77,0.364067050946345,1,1,1.37895594114169e-72,"0","Gnas"
"Rab38",1.45830443560498e-76,4.98278587024786,0.52,0.015,2.30732927801419e-72,"0","Rab38"
"Psap",3.68575371844148e-76,-0.671263607714149,0.999,1,5.83159953331812e-72,"0","Psap"
"Bag3",9.28292250841065e-76,3.6731220841658,0.558,0.048,1.46874399928073e-71,"0","Bag3"
"Nr4a1",4.86209393077544e-75,4.01093376593175,0.589,0.099,7.6928050172729e-71,"0","Nr4a1"
"Slc50a1",1.71409606489303e-74,-1.87175873933225,0.294,0.718,2.71204279387375e-70,"0","Slc50a1"
"Sar1a",3.56993000268004e-74,-0.883125506059611,0.927,0.993,5.64834325024036e-70,"0","Sar1a"
"Gstm5",3.91585595543303e-73,4.90459951689038,0.507,0.015,6.19566729268614e-69,"0","Gstm5"
"Igfbp4",2.43366904542836e-71,0.996427393318939,0.997,0.987,3.85055116367676e-67,"0","Igfbp4"
"Ube2d1",3.1567366994262e-71,-1.29917762896735,0.578,0.879,4.99458880583213e-67,"0","Ube2d1"
"Cd81",6.56670810437109e-71,0.636251145009549,1,1,1.03898455627359e-66,"0","Cd81"
"Astn1",1.32161668405365e-70,1.39216391276885,0.91,0.67,2.09106191750969e-66,"0","Astn1"
"Calb2",4.65730958243312e-70,-2.54636336799005,0.217,0.623,7.36879522132568e-66,"0","Calb2"
"Tfpi",9.36855373381479e-70,-2.68889047367572,0.083,0.419,1.48229257176418e-65,"0","Tfpi"
"Mfge8",9.93938807768982e-69,1.18974136838796,0.99,0.916,1.57260998165208e-64,"0","Mfge8"
"Hotairm1",2.55907647202217e-67,1.24766629620322,0.974,0.861,4.04897079403348e-63,"0","Hotairm1"
"Bche",2.04385438388091e-65,-1.94190294020906,0.126,0.502,3.23378640617638e-61,"0","Bche"
"Ddx50",6.19844939992987e-65,-0.961790991672595,0.785,0.958,9.80718664056903e-61,"0","Ddx50"
"Junb",3.18982619353896e-64,2.09275007124955,0.812,0.449,5.04694300341734e-60,"0","Junb"
"Bsg",3.11305473078943e-63,0.402418380688518,1,1,4.92547519505503e-59,"0","Bsg"
"Uba52",6.70827674259656e-63,-0.286413770137783,1,1,1.06138354621363e-58,"0","Uba52"
"Tmem176b",9.71754899066158e-63,0.762642524340018,1,1,1.53751060130247e-58,"0","Tmem176b"
"Gja1",1.03997267785719e-62,-1.67390724572556,0.307,0.703,1.64544477090564e-58,"0","Gja1"
"Myh9",2.72007501565503e-62,1.92034139830531,0.716,0.315,4.30370268976938e-58,"0","Myh9"
"Atp6v0e2",3.47451259831013e-62,1.19294454104083,0.9,0.744,5.49737383304629e-58,"0","Atp6v0e2"
"Plagl1",2.05773256420416e-61,-4.46150884330842,0.004,0.189,3.25574446308382e-57,"0","Plagl1"
"H13",2.99408663746056e-60,-1.84282956430467,0.698,0.855,4.7372438777901e-56,"0","H13"
"Lims1",1.04398145937053e-59,-0.805939232969902,0.935,0.993,1.65178746501605e-55,"0","Lims1"
"H2afy",1.25614936060072e-59,-0.62720578989981,0.999,1,1.98747951834245e-55,"0","H2afy"
"Gm47283",3.82508157554023e-59,-0.619409418300927,1,1,6.05204406881975e-55,"0","Gm47283"
"Rpl36al",1.17231181452619e-58,-0.470299942952344,1,1,1.85483175294334e-54,"0","Rpl36al"
"Rps2",2.65435821486258e-58,-0.254276390123847,1,1,4.19972556755557e-54,"0","Rps2"
"Gm10076",7.82133360374375e-57,0.254045526435527,1,1,1.23749140278434e-52,"0","Gm10076"
"Pcsk1n",1.40382195601108e-56,1.05342628394472,0.942,0.758,2.22112709880073e-52,"0","Pcsk1n"
"Serpine2",1.74213787708459e-56,0.756350421041115,1,1,2.75641054912323e-52,"0","Serpine2"
"Cp",3.93870422987315e-56,1.15831831557963,0.962,0.83,6.2318178325053e-52,"0","Cp"
"Vps26a",3.95493229609443e-56,-1.26468287735568,0.48,0.8,6.25749387888061e-52,"0","Vps26a"
"Nme2",2.47092759628418e-55,-0.601861969009641,0.967,0.996,3.90950164284083e-51,"0","Nme2"
"Npepl1",4.03661498226718e-55,-2.28572114175288,0.11,0.421,6.38673222494313e-51,"0","Npepl1"
"Hnrnpa1",1.06643571667894e-54,-0.405754861785416,1,1,1.68731459092942e-50,"0","Hnrnpa1"
"Fabp7",1.30117933048981e-53,-0.611106243395827,1,1,2.05872593670098e-49,"0","Fabp7"
"Gm8797",2.00284951128002e-53,-0.981839311961783,0.66,0.892,3.16890849674724e-49,"0","Gm8797"
"Igf2bp3",2.80163311923197e-53,-1.24909558546888,0.416,0.795,4.43274392124882e-49,"0","Igf2bp3"
"Csrp2",4.96391319998176e-53,-1.28177558125985,0.479,0.819,7.85390346501114e-49,"0","Csrp2"
"Cdk2ap1",7.38923586044808e-53,-0.563006033192618,0.992,1,1.1691248978401e-48,"0","Cdk2ap1"
"Ado",8.46509475520713e-53,-1.13690029695757,0.512,0.833,1.33934729216887e-48,"0","Ado"
"AY036118",1.71850652252069e-52,-0.951505702384066,0.676,0.914,2.71902101993223e-48,"0","AY036118"
"Cct4",2.56239706911494e-52,-0.388198028141994,1,1,4.05422464275366e-48,"0","Cct4"
"Acsbg1",4.13618900651101e-52,0.819769276502612,0.988,0.945,6.54427824610172e-48,"0","Acsbg1"
"Tysnd1",6.68028112301466e-52,-1.29369220486254,0.422,0.756,1.05695407928338e-47,"0","Tysnd1"
"Nav1",6.51655803573718e-51,1.2717586167513,0.884,0.65,1.03104981241434e-46,"0","Nav1"
"Cst3",1.55456346044299e-50,0.682485412679726,1,1,2.45963030711291e-46,"0","Cst3"
"Thsd1",1.65759936034266e-50,-2.53421376657302,0.057,0.308,2.62265370793416e-46,"0","Thsd1"
"Mt3",1.68561825502111e-50,2.03175686779229,0.772,0.476,2.66698520309441e-46,"0","Mt3"
"Gng12",4.34263958836069e-50,0.615223204771842,0.999,0.985,6.87092435670428e-46,"0","Gng12"
"Pou3f4",7.21498317845445e-50,-1.4494752152101,0.289,0.65,1.14155463849506e-45,"0","Pou3f4"
"Kcne1l",9.88011396352694e-50,-3.27868026502887,0.075,0.335,1.56323163130923e-45,"0","Kcne1l"
"Gpx4",1.07944094766226e-49,0.490494424848867,1,1,1.70789146739123e-45,"0","Gpx4"
"Reep3",1.5182473820029e-49,-0.822392662011267,0.903,0.976,2.40217100780498e-45,"0","Reep3"
"Serf2",1.54729507172539e-49,0.253900528141724,1,1,2.44813026248391e-45,"0","Serf2"
"Ass1",1.63226333527632e-49,-1.91082013667033,0.205,0.544,2.5825670490742e-45,"0","Ass1"
"Grm5",6.16589795240096e-49,1.23002938595005,0.901,0.685,9.7556837402888e-45,"0","Grm5"
"Gm21887",1.32975599429455e-48,-0.939560796138341,0.728,0.921,2.10393993417284e-44,"0","Gm21887"
"Plin2",1.62224235900942e-48,1.64770082332167,0.641,0.238,2.5667118604247e-44,"0","Plin2"
"Ncan",2.38197163197969e-48,0.937965873528054,0.957,0.85,3.76875551611827e-44,"0","Ncan"
"Rap1a",1.4002911440286e-47,0.616284935544271,0.999,0.998,2.21554064808205e-43,"0","Rap1a"
"Ppic",1.73054907719259e-47,0.759490856005074,0.987,0.817,2.73807474993412e-43,"0","Ppic"
"Emp1",5.5086134090161e-46,-2.54089533158687,0.104,0.374,8.71572813574527e-42,"0","Emp1"
"Hsp90ab1",6.39970390922545e-46,-0.228353915765666,1,1,1.01256115251765e-41,"0","Hsp90ab1"
"Ifitm2",1.07477165886425e-45,0.515598855270551,1,0.976,1.70050371865501e-41,"0","Ifitm2"
"Mmp2",3.50443998705521e-45,-2.19192445395239,0.112,0.388,5.54472494751875e-41,"0","Mmp2"
"Cox6a1",3.55198681250992e-45,0.363919916706275,1,1,5.61995353475319e-41,"0","Cox6a1"
"Ccar1",1.68806643748588e-44,-0.572788445354711,0.974,0.991,2.67085871739015e-40,"0","Ccar1"
"Pald1",7.1879571267064e-44,-1.34272983627303,0.348,0.665,1.13727857658749e-39,"0","Pald1"
"Tmed3",2.80495803068554e-43,0.647386038217135,0.993,0.945,4.43800459615066e-39,"0","Tmed3"
"Ddx21",4.52602555150446e-43,-0.913360162867687,0.677,0.91,7.16107762759036e-39,"0","Ddx21"
"Ctsz",5.36099020292027e-43,4.82825947919256,0.347,0.018,8.48215869906045e-39,"0","Ctsz"
"Stim2",8.30239238227403e-43,0.845419735121874,0.935,0.767,1.3136045227234e-38,"0","Stim2"
"Hspe1",2.76296938605715e-42,-0.298274229458335,1,1,4.37157016261962e-38,"0","Hspe1"
"Hoxc8",2.95064219448163e-42,7.74890442792556,0.319,0.002,4.66850608010883e-38,"0","Hoxc8"
"mt-Nd5",3.27180047275507e-42,0.352113485141819,1,1,5.17664270799307e-38,"0","mt-Nd5"
"mt-Nd3",5.14010999541532e-42,0.308525985780872,1,1,8.13268203474612e-38,"0","mt-Nd3"
"Fkbp10",1.27503175673424e-41,-1.62044904837746,0.419,0.659,2.01735524550491e-37,"0","Fkbp10"
"Gm10093",1.48864686238448e-41,-1.14368117551068,0.452,0.751,2.35533706566472e-37,"0","Gm10093"
"Ggt7",1.74201129600031e-41,-3.04371045012046,0.031,0.216,2.75621027253168e-37,"0","Ggt7"
"Nus1",1.84211819974144e-41,-1.02164517993914,0.523,0.813,2.91459941563091e-37,"0","Nus1"
"Pdlim5",3.51606351419864e-41,0.624855553043136,0.992,0.98,5.56311569216508e-37,"0","Pdlim5"
"Kif1bp",3.70867378563643e-41,-1.02730269359884,0.524,0.793,5.86786366363396e-37,"0","Kif1bp"
"Pea15a",4.6378044943751e-41,0.605228161768472,0.996,0.985,7.33793427100029e-37,"0","Pea15a"
"Hspd1",7.5403198048434e-41,-0.400348486580693,1,1,1.19302939952232e-36,"0","Hspd1"
"Mest",1.68567813438567e-40,-0.611152993041718,0.999,1,2.667079944225e-36,"0","Mest"
"Eif3m",1.93577016719206e-40,-0.319982727383386,1,1,3.06277555853127e-36,"0","Eif3m"
"Rps3a1",2.41552504551153e-40,-0.169248275406046,1,1,3.82184372700834e-36,"0","Rps3a1"
"Zfp422",3.00538836126321e-40,-0.74232973263718,0.799,0.947,4.75512546519064e-36,"0","Zfp422"
"Zic1",3.72656420896304e-40,3.73320294062621,0.342,0.024,5.89616989142133e-36,"0","Zic1"
"Ajap1",3.79282914598536e-40,6.98883952988341,0.313,0.007,6.00101427477804e-36,"0","Ajap1"
"Plod1",8.50821660409687e-40,0.893696361213671,0.905,0.758,1.34617003110021e-35,"0","Plod1"
"Sae1",1.01521918069191e-39,-0.460180431267779,0.997,1,1.60627978769074e-35,"0","Sae1"
"Smim20",1.05786657270425e-39,2.55662199414012,0.449,0.115,1.67375649133267e-35,"0","Smim20"
"1810037I17Rik",2.03583126825861e-39,0.473543970568949,0.999,1,3.22109223263878e-35,"0","1810037I17Rik"
"Npm1",3.55381273308061e-39,-0.305376901956635,1,1,5.62284250628013e-35,"0","Npm1"
"Gpr37",4.13150570625917e-39,-3.09618599181123,0.027,0.2,6.53686832844326e-35,"0","Gpr37"
"Fosb",4.72171117418863e-39,1.52047184411358,0.68,0.357,7.47069141980125e-35,"0","Fosb"
"Timp4",5.35713223023489e-39,2.18488645080088,0.608,0.297,8.47605461467765e-35,"0","Timp4"
"Chid1",5.42208041367967e-39,0.939426576764928,0.861,0.7,8.57881563052398e-35,"0","Chid1"
"Eno1",8.09583664445274e-39,0.38198296333313,1,1,1.28092327388531e-34,"0","Eno1"
"Nrbf2",1.30863092850876e-38,-1.20507634069982,0.367,0.667,2.07051585508655e-34,"0","Nrbf2"
"Ascc1",1.48497826619819e-38,-1.11448325252992,0.426,0.729,2.34953261277877e-34,"0","Ascc1"
"Sarnp",3.91923329097665e-38,-0.502031552451978,0.967,0.993,6.20101091298326e-34,"0","Sarnp"
"Fndc1",7.97943578798086e-38,-1.73293103463493,0.137,0.41,1.26250633037433e-33,"0","Fndc1"
"Aplp2",1.41129132568464e-37,0.474405255665632,1,1,2.23294513549824e-33,"0","Aplp2"
"Micu1",1.73448971926189e-37,-0.919675674196693,0.539,0.811,2.74430963381617e-33,"0","Micu1"
"Kcnmb4",3.84184976767151e-37,1.20496818526472,0.762,0.489,6.07857470240986e-33,"0","Kcnmb4"
"Rpl26",7.764061024612e-37,-0.159237075493366,1,1,1.22842973531411e-32,"0","Rpl26"
"Chl1",8.95866470613536e-37,-1.58300905784024,0.421,0.632,1.41743992980474e-32,"0","Chl1"
"Dnajb12",1.28430173054469e-36,-1.30883160427905,0.259,0.562,2.03202219806781e-32,"0","Dnajb12"
"Zfp979",3.94933175122382e-36,-2.14127388133977,0.084,0.308,6.24863269678633e-32,"0","Zfp979"
"Nefm",7.0962717693533e-36,-4.28016314627864,0.005,0.121,1.12277211934708e-31,"0","Nefm"
"Cct8",7.82753141280311e-36,-0.33272945758672,1,1,1.23847202013371e-31,"0","Cct8"
"Atp5k",1.04625048141536e-35,0.360751137123148,1,1,1.65537751169538e-31,"0","Atp5k"
"Dusp1",1.96839220199623e-35,1.7721459834133,0.646,0.359,3.11439014199843e-31,"0","Dusp1"
"Cyr61",4.23406960129156e-35,1.9302575037432,0.635,0.328,6.69914492316351e-31,"0","Cyr61"
"Chst7",4.31073946448818e-35,0.738519450073063,0.978,0.861,6.8204519807132e-31,"0","Chst7"
"Ppia",5.25454203198331e-35,-0.180065585373463,1,1,8.313736403004e-31,"0","Ppia"
"Vps36",7.31569914562252e-35,0.63726542920647,0.976,0.947,1.1574899188204e-30,"0","Vps36"
"Cct7",9.80813595930899e-35,-0.316189818913392,1,1,1.55184327148187e-30,"0","Cct7"
"Mmp15",2.41574206850337e-34,0.663859476361368,0.978,0.896,3.82218710078603e-30,"0","Mmp15"
"Gucy1b1",2.83884489821615e-34,-3.20686222296734,0.015,0.15,4.49162039795759e-30,"0","Gucy1b1"
"Hnrnpa2b1",4.40291457065496e-34,-0.314871442706655,1,1,6.96629143369028e-30,"0","Hnrnpa2b1"
"Igf2bp1",5.94105642428907e-34,-2.80776626755752,0.027,0.183,9.39993947451017e-30,"0","Igf2bp1"
"Csrp1",5.98272439394438e-34,1.55483045710124,0.594,0.293,9.4658665360988e-30,"0","Csrp1"
"Ank2",6.60620899905395e-34,0.50741438491915,1,0.996,1.04523438783032e-29,"0","Ank2"
"Ddit4",6.7702832472777e-34,-1.44722971863449,0.292,0.568,1.07119421538428e-29,"0","Ddit4"
"Selenom",7.18795789692775e-34,0.675534147466329,0.967,0.815,1.13727869845191e-29,"0","Selenom"
"Ier3",9.7688812882111e-34,1.0057953186601,0.852,0.562,1.54563239742076e-29,"0","Ier3"
"Emcn",9.78225217998664e-34,-2.19539332357486,0.237,0.498,1.54774793991749e-29,"0","Emcn"
"Psmc6",9.96979806552348e-34,-0.351002099882285,0.999,1,1.57742144992712e-29,"0","Psmc6"
"Itga6",1.11867690945406e-33,-1.09489953820382,0.49,0.76,1.76997060613821e-29,"0","Itga6"
"Mgmt",1.79044043950688e-33,4.58383535513665,0.284,0.015,2.83283486338779e-29,"0","Mgmt"
"Hsbp1",1.8129359303908e-33,0.326934137813798,1,1,2.86842722906433e-29,"0","Hsbp1"
"Hoxc6",2.00833087364164e-33,6.73423779831415,0.263,0.002,3.1775811082758e-29,"0","Hoxc6"
"Pld1",2.25810720363075e-33,0.979851483809911,0.838,0.639,3.57277721758458e-29,"0","Pld1"
"Zfp951",2.88737654570418e-33,-3.6521319236656,0.01,0.132,4.56840717061315e-29,"0","Zfp951"
"Psma4",3.18539023637777e-33,-0.302903243204524,1,1,5.03992443199691e-29,"0","Psma4"
"Dcbld1",3.41348811208271e-33,-1.24118229615122,0.281,0.562,5.40082089093727e-29,"0","Dcbld1"
"Pcdh9",3.84498302460418e-33,0.753176284931611,0.945,0.85,6.08353214152874e-29,"0","Pcdh9"
"Snrpf",4.50416692991942e-33,-0.394304412374252,0.999,1,7.1264929165185e-29,"0","Snrpf"
"Lpl",7.24450979282529e-33,-1.22033551124561,0.282,0.577,1.14622633942082e-28,"0","Lpl"
"Atf3",9.96884774399965e-33,3.37171877061263,0.349,0.064,1.57727109005562e-28,"0","Atf3"
"Sept10",1.71599460952153e-32,-1.00863185230488,0.428,0.709,2.71504667118497e-28,"0","Sept10"
"Pdzrn4",2.76855001887756e-32,-1.26195736263171,0.243,0.526,4.38039983986808e-28,"0","Pdzrn4"
"Gpm6b",3.25497696409916e-32,0.388045699474632,1,1,5.15002455259768e-28,"0","Gpm6b"
"Rps3",3.28339305301521e-32,-0.165132824590191,1,1,5.19498448848066e-28,"0","Rps3"
"Slc1a3",3.95163340211532e-32,0.620886047241773,0.997,0.989,6.25227436882686e-28,"0","Slc1a3"
"Cct2",4.25717138649088e-32,-0.247538298394018,1,1,6.73569656770587e-28,"0","Cct2"
"Sgce",8.33173221138189e-32,-0.80017020515903,0.721,0.89,1.31824667048484e-27,"0","Sgce"
"Gm15050",1.06400800876213e-31,1.33655946767694,0.692,0.454,1.68347347146345e-27,"0","Gm15050"
"Nono",1.07700201567623e-31,-0.323876841001278,1,1,1.70403258920294e-27,"0","Nono"
"Fndc3c1",1.53138661280969e-31,-1.97804353247146,0.072,0.271,2.42295989878749e-27,"0","Fndc3c1"
"Hnrnpk",1.65448999831811e-31,-0.227085155316288,1,1,2.61773407533891e-27,"0","Hnrnpk"
"mt-Nd4l",2.43819923829628e-31,0.44933993285814,1,0.998,3.85771883483238e-27,"0","mt-Nd4l"
"Gpd1",2.6709044986639e-31,1.88788384917888,0.499,0.209,4.22590509778603e-27,"0","Gpd1"
"Zfp36",2.9943548609901e-31,3.41200728333535,0.316,0.046,4.73766826105853e-27,"0","Zfp36"
"Actn1",5.61997739000081e-31,-0.830561073799968,0.657,0.861,8.89192822645929e-27,"0","Actn1"
"Lsamp",6.23687305533888e-31,0.953403798116757,0.838,0.617,9.86798054815717e-27,"0","Lsamp"
"Flnc",1.43564522993536e-30,-2.30578895395414,0.045,0.214,2.27147788280372e-26,"0","Flnc"
"Psma1",1.5657730552462e-30,-0.350831502810464,0.999,1,2.47736612801054e-26,"0","Psma1"
"Syt13",1.61517116426641e-30,-1.97181157875995,0.086,0.291,2.55552381610231e-26,"0","Syt13"
"Snap25",1.87343597187369e-30,-4.20860988525361,0.006,0.11,2.96415039469855e-26,"0","Snap25"
"Dpp6",2.44472792131565e-30,-3.03332596797265,0.02,0.152,3.86804851710562e-26,"0","Dpp6"
"Eif4a1",3.56586113611754e-30,-0.2348870745388,1,1,5.64190548956517e-26,"0","Eif4a1"
"Cavin3",4.88621075915869e-30,-2.49972624501554,0.061,0.24,7.73096266314088e-26,"0","Cavin3"
"Fgf1",6.99131894589469e-30,0.956515143157704,0.846,0.672,1.10616648361946e-25,"0","Fgf1"
"Rab3c",9.33407038535438e-30,-1.84852643309453,0.123,0.344,1.47683661637077e-25,"0","Rab3c"
"Supv3l1",1.13416288068301e-29,-1.28085463626321,0.255,0.518,1.79447250981666e-25,"0","Supv3l1"
"Phpt1",1.4029944352252e-29,-0.551407225880993,0.891,0.958,2.21981779541331e-25,"0","Phpt1"
"Angpt2",2.26645835890674e-29,-1.36218702380452,0.424,0.643,3.58599041546224e-25,"0","Angpt2"
"Alyref",3.60956753671009e-29,-0.477786721171174,0.983,0.991,5.71105775658271e-25,"0","Alyref"
"Lrrc42",3.92947757111608e-29,-0.578273781051357,0.918,0.971,6.21721941301987e-25,"0","Lrrc42"
"Eya1",5.94602089518596e-29,-1.6056308352555,0.121,0.341,9.40779426036323e-25,"0","Eya1"
"Eef1g",7.28179388199906e-29,-0.184770948788572,1,1,1.15212542800989e-24,"0","Eef1g"
"Rpl27",1.09776288149501e-28,-0.239836985715391,1,1,1.7368804311014e-24,"0","Rpl27"
"Prmt1",1.20478659986897e-28,-0.309558066971714,0.999,1,1.90621335831269e-24,"0","Prmt1"
"Mast4",1.29126035819424e-28,-0.739684362729948,0.694,0.881,2.04303213873493e-24,"0","Mast4"
"Smarce1",1.32825192008934e-28,-0.435465009652567,0.97,0.996,2.10156018796535e-24,"0","Smarce1"
"Purb",1.41522786395397e-28,0.344056276933005,1,1,2.23917352634796e-24,"0","Purb"
"Dynlt1b",1.4276252832643e-28,-0.850616113975547,0.46,0.733,2.25878872318077e-24,"0","Dynlt1b"
"Tm2d1",2.19525523688511e-28,0.621355605490836,0.918,0.808,3.47333283579962e-24,"0","Tm2d1"
"Rpl4",2.22428088142967e-28,-0.176225184842593,1,1,3.51925721059802e-24,"0","Rpl4"
"Cox8a",2.62938920989408e-28,0.202906635778366,1,1,4.16021960789441e-24,"0","Cox8a"
"Rpl22l1",3.69646591231774e-28,-0.243069879259266,1,1,5.84854836646913e-24,"0","Rpl22l1"
"Ccdc6",4.09515343306969e-28,-1.06455252572614,0.435,0.674,6.47935176180286e-24,"0","Ccdc6"
"Rbm3",4.38820152218451e-28,-0.265599382965947,1,1,6.94301244840033e-24,"0","Rbm3"
"Cct3",5.93746751155895e-28,-0.295000714966498,1,1,9.39426109678856e-24,"0","Cct3"
"Gdi2",6.01811018342652e-28,-0.258537978569577,1,1,9.52185393221744e-24,"0","Gdi2"
"Btf3",7.99035831261473e-28,-0.160650603149445,1,1,1.2642344922219e-23,"0","Btf3"
"Klf6",1.27550226844091e-27,0.639951419185916,0.922,0.756,2.01809968912721e-23,"0","Klf6"
"Arpc1b",1.31598981524424e-27,0.44156388012892,1,0.996,2.08215908567944e-23,"0","Arpc1b"
"Ech1",1.63999281474537e-27,0.634837671814668,0.957,0.863,2.59479663149012e-23,"0","Ech1"
"Egr3",2.36336464052408e-27,1.52385050628755,0.462,0.174,3.73931553423719e-23,"0","Egr3"
"Nptx1",2.41892479798031e-27,0.941323108140337,0.889,0.681,3.82722281536444e-23,"0","Nptx1"
"Tmem70",4.30005582404841e-27,-0.561572180126879,0.813,0.945,6.80354832480939e-23,"0","Tmem70"
"Cpd",5.68331457664437e-27,0.716610482027205,0.974,0.905,8.99214032316673e-23,"0","Cpd"
"Rps29",5.74805344379797e-27,0.139206195815904,1,1,9.09457015877715e-23,"0","Rps29"
"Hnrnpm",6.68054964232916e-27,-0.329134887760893,0.997,1,1.05699656440932e-22,"0","Hnrnpm"
"Rps25",8.71977754872928e-27,-0.175712029227943,1,1,1.37964320375995e-22,"0","Rps25"
"1500015O10Rik",8.7688199545051e-27,0.871853123876176,0.992,0.976,1.3874026932018e-22,"0","1500015O10Rik"
"Brinp2",8.92005783329972e-27,1.43781681234437,0.622,0.381,1.41133155038468e-22,"0","Brinp2"
"Hnrnpa0",9.35103782526604e-27,-0.320157663271529,1,1,1.47952120471359e-22,"0","Hnrnpa0"
"Rps23",1.03434083676393e-26,-0.143478664437755,1,1,1.63653407192789e-22,"0","Rps23"
"Ispd",1.19726551899759e-26,-2.13220121805546,0.05,0.209,1.89431350415798e-22,"0","Ispd"
"Psma3",1.27807570560653e-26,-0.201473762141567,1,1,2.02217138141066e-22,"0","Psma3"
"Tcp1",2.00866739601005e-26,-0.232511294309508,1,1,3.17811355396711e-22,"0","Tcp1"
"Atp5j2",2.14600530399799e-26,0.204051075042823,1,1,3.39540959198562e-22,"0","Atp5j2"
"Pdpn",3.38808740620504e-26,-1.51275405452145,0.202,0.436,5.36063189409762e-22,"0","Pdpn"
"Cask",4.87473668539448e-26,0.710969272978796,0.911,0.822,7.71280838363115e-22,"0","Cask"
"Hepacam",4.98294406794487e-26,2.47094129873072,0.325,0.079,7.88401410430238e-22,"0","Hepacam"
"3830406C13Rik",5.37877730522311e-26,-0.7706769488223,0.466,0.742,8.51030145232401e-22,"0","3830406C13Rik"
"Gm45351",5.68987683893529e-26,-3.39837533141982,0.01,0.11,9.00252313456342e-22,"0","Gm45351"
"Aes",6.91326233834368e-26,0.343693732091334,1,1,1.09381636717274e-21,"0","Aes"
"Cox14",7.38939060428982e-26,0.357856225260824,1,0.998,1.16914938141074e-21,"0","Cox14"
"Hnrnpa3",1.8227731763721e-25,-0.296738092107042,1,1,2.88399171965593e-21,"0","Hnrnpa3"
