"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Uqcrq",1.80259074464675e-13,0.145600470853045,1,1,2.85205907618009e-09
"Prdx5",1.82106254937355e-13,0.215166259152995,0.999,0.998,2.88128516561883e-09
"Tmbim6",1.87765473254584e-13,0.188903964342245,1,1,2.97082531783404e-09
"Cdh13",1.87839503715891e-13,0.918886018014555,0.644,0.525,2.97199662779283e-09
"1110004F10Rik",1.98094551074883e-13,-0.205830360020951,0.999,1,3.13425198710679e-09
"Rtkn2",2.1076023520811e-13,-1.19072305733137,0.154,0.296,3.33464844146271e-09
"Anxa5",2.12975198582815e-13,0.460586212828233,0.892,0.736,3.3696935919773e-09
"Tpt1",2.22369374459578e-13,0.0676777610176966,1,1,3.51832824269944e-09
"Rplp2",2.23054275629991e-13,-0.10387254577808,1,1,3.52916474901772e-09
"Rpl3",2.27292785698005e-13,-0.108481934359608,1,1,3.59622645531383e-09
"Ubqln2",2.31022277385222e-13,-0.386847794819829,0.771,0.879,3.65523447278898e-09
"Tubb5",2.31807730129317e-13,-0.256383413313782,1,1,3.66766190610605e-09
"Slc25a25",2.32241120506654e-13,0.597002924376171,0.817,0.718,3.67451900865628e-09
"Tgfb2",2.40990332712605e-13,0.967671207436244,0.56,0.416,3.81294904417884e-09
"4921524J17Rik",2.41167849454627e-13,-0.490084108351063,0.655,0.787,3.8157577140711e-09
"Irs2",2.48979667502627e-13,0.675824802129043,0.717,0.565,3.93935629922657e-09
"Tusc3",2.53912929352137e-13,0.242311189451216,0.999,1,4.01741036820952e-09
"Psmb4",2.57631554214153e-13,-0.139507809210722,1,1,4.07624645077632e-09
"Sh3glb2",2.65975676302042e-13,0.382148868490703,0.945,0.903,4.2082671504509e-09
"Cspg5",2.7501296650994e-13,0.558834151121346,0.869,0.744,4.35125515612027e-09
"Tmem178",2.85525443432697e-13,-1.88709533189174,0.026,0.105,4.51758356599213e-09
"Mfng",3.08444646478676e-13,-1.57349210165531,0.047,0.143,4.88021119658561e-09
"Mpp6",3.08592181605926e-13,-0.434500601879095,0.747,0.869,4.88254549736897e-09
"Il17ra",3.26624470515364e-13,-1.11406048301801,0.127,0.264,5.16785237249408e-09
"Cog8",3.30575720458495e-13,-0.423097000973371,0.718,0.829,5.23036904909431e-09
"N4bp3",3.34311070471219e-13,-1.17883695347003,0.225,0.372,5.28946975699563e-09
"Hmgn3",3.35106482626511e-13,-0.270093321984772,0.958,0.98,5.30205476811665e-09
"Ran",3.36016436838036e-13,-0.168260001533272,1,1,5.31645206365141e-09
"Thg1l",3.44269231797873e-13,-0.452575410628013,0.589,0.767,5.44702778550594e-09
"Inhbb",3.48734591106246e-13,-0.961005089259126,0.185,0.338,5.51767870048303e-09
"Grina",3.50665178075274e-13,0.437017010257502,0.931,0.881,5.54822444750699e-09
"Dnajc11",3.50973479952218e-13,0.616877811439979,0.732,0.65,5.55310239980399e-09
"Fbln2",3.53288205394284e-13,-0.852811797098195,0.462,0.628,5.58972598574836e-09
"B230118H07Rik",3.56790816707145e-13,0.315947212686116,0.984,0.974,5.64514430194045e-09
"Nxn",3.58091885821884e-13,-0.66760850472367,0.629,0.761,5.66572981747384e-09
"Gbp3",3.61507642093412e-13,-0.999123553212773,0.197,0.35,5.71977391320196e-09
"Dpysl3",3.84881139215575e-13,-0.613560066622487,0.61,0.753,6.08958938466883e-09
"Lama4",4.06147821460424e-13,-1.72784383196388,0.046,0.139,6.42607083114684e-09
"AC164424.1",4.06379924379964e-13,-1.60871296172451,0.052,0.151,6.42974316353979e-09
"Rpl7l1",4.12071802425418e-13,-0.225499223528931,0.985,0.986,6.51980005797497e-09
"Mycl",4.31364698027716e-13,-1.06112473166678,0.137,0.276,6.82505225219452e-09
"Rcc2",4.41793375432126e-13,-0.279639732011203,0.987,0.998,6.9900547860871e-09
"Uqcrh",4.43140776843701e-13,0.131687877737593,1,1,7.01137337122104e-09
"Rpl34",4.7205750066886e-13,-0.0974606906840823,1,1,7.4688937755827e-09
"Grm3",4.7969640792201e-13,0.8942875330967,0.453,0.276,7.58975656614204e-09
"Mcts2",5.01683305971412e-13,0.309194373549976,0.955,0.889,7.93763326707968e-09
"Nup62",5.16198965650531e-13,-0.471982423995717,0.68,0.811,8.1673000345227e-09
"Col4a2",5.16961503978849e-13,-0.618384303598093,0.419,0.588,8.17936491595335e-09
"Mrps9",5.19001736036285e-13,-0.350154346033523,0.889,0.95,8.2116454675661e-09
"Paics",5.27376171344163e-13,-0.284566398114352,0.988,1,8.34414578300734e-09
"Pak3",5.43877311392585e-13,-0.815876355409326,0.301,0.469,8.60522682085347e-09
"Uba2",5.44809176665761e-13,-0.281449636242805,0.988,0.998,8.61997079320568e-09
"Cdca7",5.45478520801144e-13,-0.608878114840237,0.546,0.692,8.63056115611569e-09
"Acat2",5.47851798489884e-13,-0.380757952782807,0.867,0.942,8.66811115570695e-09
"Tnfrsf21",5.53818620168423e-13,0.515803626411853,0.963,0.895,8.76251820830479e-09
"Atp5o.1",5.67275755031942e-13,0.162833783862283,1,1,8.97543699611539e-09
"Ttyh3",6.00516381300648e-13,0.328651343103639,0.992,0.982,9.50137018493885e-09
"Lasp1",6.00738903108378e-13,0.372641457440727,0.944,0.907,9.50489092498075e-09
"Psmg4",6.05744700643515e-13,-0.317330542391808,0.859,0.962,9.58409265358169e-09
"Psmc2",6.3403535624266e-13,-0.212093449702127,0.997,1,1.00317074064714e-08
"1810009A15Rik",6.69044826098898e-13,-0.716394479373511,0.325,0.497,1.05856272385368e-08
"Tm4sf1",6.87955755935097e-13,1.15520215137486,0.451,0.292,1.08848359704051e-08
"Lrrc20",6.89311942557005e-13,-0.834774296761654,0.201,0.36,1.09062935551369e-08
"Rps4x",7.02407897528068e-13,-0.0849695170543976,1,1,1.11134977546891e-08
"Sept9",7.29565927583628e-13,0.198860542618789,1,1,1.15431921062282e-08
"Abca1",7.72647670912486e-13,1.95224710935268,0.282,0.131,1.22248314491774e-08
"Ulbp1",7.73085130152136e-13,-1.97015107161929,0.032,0.113,1.22317529292671e-08
"Qpct",7.9927714153304e-13,-1.03524609984118,0.123,0.256,1.26461629333358e-08
"Mex3a",8.0638454192977e-13,-0.459630168161963,0.728,0.861,1.27586162224128e-08
"Emc9",8.10855067662131e-13,3.34919847916629,0.118,0.012,1.28293488805502e-08
"Zc3hc1",8.1529266172636e-13,-0.414584982865147,0.735,0.851,1.28995604938345e-08
"Elob",8.63168310420871e-13,0.133642961384102,1,1,1.3657049007479e-08
"Gm9493",8.93422335685785e-13,-0.376779636607642,0.771,0.871,1.41357281952205e-08
"Tmx2",9.2056488491271e-13,-0.290460156970674,0.96,0.966,1.45651776090889e-08
"Gclc",9.24857603109824e-13,-0.478773444402167,0.714,0.825,1.46330969964036e-08
"Pttg1",9.75415394883343e-13,0.763962066342378,0.665,0.469,1.54330223778443e-08
"Armc10",1.00388990372787e-12,-0.653316344920389,0.412,0.581,1.58835460567824e-08
"Pa2g4",1.01464654781536e-12,-0.247706089190733,0.999,1,1.60537376795347e-08
"Ccdc138",1.07937063272166e-12,-1.2074959570325,0.136,0.268,1.70778021509221e-08
"Lpgat1",1.09912255396569e-12,-0.858240469219551,0.208,0.364,1.73903170488452e-08
"Gstk1",1.11710868276604e-12,-0.981821758958133,0.166,0.31,1.76748935787242e-08
"Rpl18",1.14902353562212e-12,-0.0868558372139718,1,1,1.81798503806132e-08
"Adam12",1.16184456114782e-12,0.371671345478853,0.957,0.881,1.83827046464809e-08
"Selenoi",1.17798431935626e-12,-0.675133763880325,0.309,0.481,1.86380679008547e-08
"March5",1.19727582050737e-12,-0.269916880231294,0.987,0.996,1.89432980320676e-08
"Rgs16",1.2713328418484e-12,-1.30870548509407,0.142,0.278,2.01150282237255e-08
"Nell2",1.29908809160525e-12,1.32910515632308,0.342,0.181,2.05541717853782e-08
"Thbs2",1.31462420177764e-12,-2.42988837836895,0.018,0.085,2.07999841205258e-08
"Ssrp1",1.38198759722886e-12,-0.253397251545162,0.997,1,2.1865807763355e-08
"Anks3",1.39644379072535e-12,-0.679824974117761,0.312,0.483,2.20945336568565e-08
"Msmo1",1.40039677958271e-12,-0.349253775869805,0.953,0.968,2.21570778465576e-08
"Calu",1.4155385211651e-12,0.25940341476836,0.995,0.99,2.23966504818742e-08
"Pou3f1",1.4522731515745e-12,0.491141662204387,0.94,0.839,2.29778658042117e-08
"Actr3",1.46564025521866e-12,-0.229849246312615,0.997,1,2.31893601180697e-08
"Tprgl",1.58506346339643e-12,0.331884514811714,0.967,0.946,2.50788741178583e-08
"Tead2",1.60232898591982e-12,-0.249383478456993,0.994,1,2.53520492152234e-08
"Ppm1g",1.62647550288904e-12,-0.300553242204501,0.968,0.986,2.57340954067104e-08
"2310033P09Rik",1.66791702191912e-12,-0.417991360880535,0.779,0.885,2.63897831208043e-08
"Smarcb1",1.80595232514346e-12,-0.237519583272418,0.989,0.998,2.85737776884198e-08
"Cpped1",1.82133908410437e-12,0.744976089849337,0.454,0.272,2.88172269886994e-08
"Elavl4",1.84926278967742e-12,-1.2754250046726,0.151,0.288,2.92590358582762e-08
"Cdk4",1.86857986781507e-12,-0.156321576734226,1,1,2.956467066857e-08
"Tmed9",1.87228019063029e-12,0.182762209844715,1,1,2.96232171761525e-08
"Akr1a1",1.87389976736057e-12,0.130098691607073,1,1,2.9648842119179e-08
"Mta1",2.13120367021752e-12,-0.331648951074985,0.881,0.952,3.37199044701817e-08
"Ptma",2.23686766903496e-12,-0.187116464929596,1,1,3.53917202594711e-08
"Samd4",2.40286786359205e-12,1.04964446656454,0.471,0.312,3.80181753377534e-08
"Cox6b1",2.4952320411262e-12,0.123039999026715,1,1,3.94795613546987e-08
"Rnps1",2.50214741383758e-12,-0.257738711812126,0.976,0.992,3.95889763817383e-08
"Mlc1",2.52362046346079e-12,0.346477201062165,0.975,0.96,3.99287229728767e-08
"Trit1",2.53200937007403e-12,-0.677653364073919,0.313,0.483,4.00614522533114e-08
"Mtss1l",2.67246600001204e-12,0.375520598220229,0.976,0.926,4.22837570521905e-08
"Trp53rka",3.16682291259592e-12,-0.61999800351928,0.4,0.571,5.01054721230926e-08
"Chsy1",3.18856564648942e-12,-0.508361812365915,0.746,0.827,5.04494856587557e-08
"Flrt2",3.21746288008103e-12,-1.01185718675009,0.15,0.286,5.09066976886421e-08
"Hist3h2ba",3.22228489520171e-12,0.832215324639825,0.598,0.457,5.09829916118814e-08
"Tmem35a",3.27898287890923e-12,-0.779769045185468,0.318,0.487,5.18800671101019e-08
"Lta4h",3.43703138924342e-12,-0.384905954716726,0.805,0.881,5.43807106406094e-08
"Olfm2",3.44405538638884e-12,0.337032774494975,0.986,0.964,5.44918443234441e-08
"Mcu",3.47283045544635e-12,-0.874447527509687,0.182,0.33,5.49471234660721e-08
"Plgrkt",3.5806128397088e-12,0.378806782076041,0.918,0.859,5.66524563498726e-08
"Sdc1",3.62847268701237e-12,-0.650386290755981,0.451,0.618,5.74096948539097e-08
"Spag9",3.66696602374732e-12,0.332622829654601,0.966,0.93,5.80187364277301e-08
"Itpr2",3.69122520188568e-12,0.586553169060348,0.728,0.624,5.84025651442352e-08
"Acly",3.88297276223069e-12,-0.30735689975035,0.966,0.978,6.1436395044014e-08
"Rpl10",3.89724054454314e-12,-0.100913773095464,1,1,6.16621398957616e-08
"Tln1",4.07700830809121e-12,0.372744032740525,0.937,0.899,6.45064254506191e-08
"Arl6ip6",4.09853759800836e-12,-0.453874858467638,0.797,0.883,6.48470618756883e-08
"Ndufc2",4.13765725952603e-12,0.143850242816793,1,1,6.54660131602208e-08
"Mtf2",4.63120384860663e-12,-0.488579752064207,0.595,0.742,7.32749072926541e-08
"Naxe",4.81531749043017e-12,0.240439411556305,1,0.988,7.61879533335861e-08
"Lpin1",4.94076422530181e-12,0.801167438384265,0.62,0.497,7.81727715727252e-08
"Pcna",4.98538614897589e-12,-0.708627816066001,0.524,0.654,7.88787796490966e-08
"Snhg12",5.0408731627152e-12,-0.511149530505197,0.581,0.732,7.97566951804799e-08
"Ctsd",5.53100836503764e-12,0.268942968292979,0.999,0.998,8.75116143516256e-08
"D030056L22Rik",5.67720483437367e-12,-0.579765348077273,0.493,0.644,8.98247348894601e-08
"Srp14",5.80821003837386e-12,0.155818053393507,1,1,9.18974992271513e-08
"Ftl1",5.90195521950171e-12,-0.174821503296279,1,1,9.33807354829561e-08
"Nkap",6.10334827195053e-12,-0.397404039517075,0.75,0.867,9.65671763588012e-08
"2610037D02Rik",6.19946956978019e-12,-0.906973431031134,0.177,0.32,9.80880075330622e-08
"Dcpp1",6.20768230842481e-12,1.22180023615302,0.376,0.211,9.82179494838974e-08
"Scrn1",6.73155241827601e-12,0.382297444647163,0.964,0.926,1.06506622361963e-07
"Chd3",7.00681131453294e-12,-0.587479253809787,0.656,0.765,1.1086176861854e-07
"Celsr2",7.06742681287707e-12,-0.488261708520256,0.57,0.724,1.11820827033341e-07
"Agrn",7.10211830330714e-12,0.436515516234497,0.873,0.817,1.12369715794926e-07
"Map1lc3a",7.11510773078596e-12,0.296627085919603,0.976,0.95,1.12575234516495e-07
"Rsl24d1",7.25109248285113e-12,-0.3236643012615,0.9,0.944,1.14726785263671e-07
"Aldoa",7.36053015705985e-12,0.262637568967648,1,1,1.16458308145001e-07
"Ascc3",7.93850593850657e-12,-0.842447551866099,0.253,0.406,1.25603040959051e-07
"Ppp5c",8.01061837916524e-12,-0.278197819366031,0.949,0.976,1.26744003995152e-07
"Sod3",8.73641542353461e-12,1.50217422503716,0.274,0.131,1.38227564831165e-07
"Plin3",8.79615504201108e-12,1.58299255575427,0.234,0.095,1.39172765074699e-07
"Vax2os",8.83242472669388e-12,2.8006779744132,0.121,0.018,1.3974662402575e-07
"Srsf7",9.06576195065305e-12,-0.308040995494888,0.989,0.992,1.43438485583233e-07
"Ptk7",9.30024856945539e-12,-0.890122690203648,0.195,0.34,1.47148532865923e-07
"Rhoa",9.34878678659568e-12,0.16200008113297,1,1,1.47916504537517e-07
"Arhgap31",9.37381257290751e-12,0.467825491949037,0.788,0.688,1.48312462528543e-07
"Lrp1",9.42974295855686e-12,0.400533733039135,0.909,0.837,1.49197393090287e-07
"Rpl9",9.69744733855211e-12,-0.0842332372758436,1,1,1.53433011790571e-07
"Calm1",9.7985367062819e-12,-0.17602044478866,1,1,1.55032447766792e-07
"Sept11",9.89471052212106e-12,0.381555137860353,0.962,0.942,1.56554109880999e-07
"Yipf1",1.00125804255447e-11,0.347382544798305,0.908,0.859,1.58419047492968e-07
"Papola",1.06903185647306e-11,-0.216950583635742,0.993,0.998,1.69142220331167e-07
"Gramd1a",1.09274894468697e-11,-0.445067094077332,0.564,0.732,1.72894738028372e-07
"Ldha",1.11213069278279e-11,0.302421064677128,1,1,1.75961318212092e-07
"Hdac2",1.12272600321183e-11,-0.193160306203485,0.998,1,1.77637708228176e-07
"Zmat5",1.1282579928827e-11,0.361873744662437,0.909,0.843,1.785129796339e-07
"Copz2",1.12878523104553e-11,0.680745172989842,0.549,0.392,1.78596399256024e-07
"Arap2",1.19023305456245e-11,0.422219400194823,0.888,0.805,1.8831867389287e-07
"Serbp1",1.19094984009473e-11,-0.140256471890708,1,1,1.88432083699789e-07
"Sec11a",1.20385069612292e-11,-0.180187559058177,0.999,1,1.90473257140569e-07
"Crim1",1.24676579131565e-11,1.0860243970524,0.459,0.318,1.97263283501963e-07
"Dcaf13",1.26712400398317e-11,-0.328986153362382,0.832,0.903,2.00484359910217e-07
"Clec3b",1.32744752074027e-11,1.61107548819442,0.307,0.161,2.10028746731526e-07
"Tpp1",1.35087037521576e-11,0.364690079977459,0.954,0.899,2.13734710766637e-07
"Adgra3",1.36324532032508e-11,0.417972146418727,0.835,0.73,2.15692674581835e-07
"Rgs10",1.37782374764118e-11,0.519707734887123,0.757,0.632,2.17999273351787e-07
"Metap1",1.38562977873711e-11,-0.489030371536782,0.606,0.726,2.19234343591785e-07
"Snrpb",1.43840674933766e-11,-0.180568580513233,1,1,2.27584715880204e-07
"Ahsa1",1.45984287721083e-11,-0.240511377029628,0.991,0.998,2.30976340032298e-07
"Abca3",1.56803718920636e-11,0.716094764939043,0.572,0.435,2.48094844076231e-07
"Toe1",1.58590987577845e-11,-0.508223440177927,0.506,0.674,2.50922660545667e-07
"Asph",1.59101879278516e-11,0.341684031503027,0.935,0.918,2.51730993394467e-07
"Hadha",1.59523290137239e-11,0.291738938707465,0.975,0.958,2.5239774965514e-07
"Pf4",1.8665410660798e-11,-0.883309722160246,0.26,0.406,2.95324127475146e-07
"Pdcd7",1.92785449777882e-11,-0.552795312335404,0.465,0.626,3.05025138638565e-07
"Plcd1",1.92980147260238e-11,1.49885108558234,0.241,0.105,3.05333188995149e-07
"Jpt2",1.94458148472095e-11,-0.54620670038512,0.453,0.616,3.07671682512548e-07
"Tspan7",1.95996637872358e-11,0.55253403654625,0.832,0.763,3.10105880441645e-07
"Ubash3b",1.96064169452638e-11,0.833026752111056,0.555,0.419,3.10212728907963e-07
"Rac1",2.0701607910306e-11,0.148427666232565,1,1,3.27540840356862e-07
"Edf1",2.13838113522828e-11,0.1534901106981,1,1,3.38334663215819e-07
"Rhoq",2.18489961163182e-11,0.411888871963639,0.993,0.972,3.45694816552387e-07
"Gga2",2.19276713572809e-11,-0.491830950486891,0.6,0.734,3.46939616214899e-07
"Plekha5",2.25707426301782e-11,-0.771816921795074,0.438,0.579,3.57114289894679e-07
"Ehd3",2.3553678008837e-11,1.87302881863788,0.162,0.046,3.72666293455819e-07
"Khdrbs1",2.47824965786384e-11,-0.223327885731361,0.994,0.998,3.92108660867217e-07
"Armcx2",2.73079473590031e-11,-0.397049600358886,0.719,0.829,4.32066343114147e-07
"Wbp1",2.78324986183497e-11,0.31223190294416,0.967,0.946,4.4036579313953e-07
"Arvcf",2.80393696061562e-11,-0.818120757769891,0.219,0.368,4.43638905908603e-07
"Snu13",2.9295778370306e-11,-0.173857047203632,1,1,4.63517805374981e-07
"Pitpnc1",3.0779892582293e-11,0.431189321157955,0.869,0.777,4.8699946043704e-07
"Rab5c",3.09798195852135e-11,0.220818858952924,0.997,0.994,4.90162705477248e-07
"Atp5d",3.09874906153991e-11,0.10629090871307,1,1,4.90284076516845e-07
"Rpl8",3.10750330112896e-11,-0.0797877265570888,1,1,4.91669172304624e-07
"Cpt1c",3.11441986751096e-11,0.502854769708389,0.75,0.65,4.92763511437583e-07
"Myo18a",3.16833272199930e-11,0.484323197561137,0.902,0.863,5.0129360327473e-07
"Fam60a",3.17286126359628e-11,-0.592844204210848,0.482,0.622,5.02010109126204e-07
"Sertad2",3.25721729677072e-11,0.456216913381648,0.83,0.755,5.15356920695064e-07
"Klf13",3.32196716394803e-11,-0.455557336007901,0.813,0.909,5.25601644679857e-07
"Grik2",3.39203365693285e-11,-1.69117512191648,0.036,0.113,5.36687565199915e-07
"Ndufa3",3.52801989239422e-11,0.284316621092709,0.978,0.962,5.58203307374613e-07
"Rpl22",3.57469139259644e-11,-0.107793134644522,1,1,5.65587672136609e-07
"Taf5",3.59401047865429e-11,-0.711360583004366,0.341,0.491,5.68644337932682e-07
"Gmpr",3.67194657193345e-11,0.685492446246354,0.618,0.481,5.8097538661131e-07
"B3galnt1",3.80899586891027e-11,-0.700345707808065,0.341,0.493,6.02659326378983e-07
"Shmt1",3.87772146573122e-11,-0.516303656237968,0.577,0.72,6.13533090307994e-07
"3222401L13Rik",3.89287732154437e-11,-1.18587976267473,0.086,0.195,6.1593104981475e-07
"Idh1",3.91619916650743e-11,-0.242638944088158,0.989,0.988,6.19621032124806e-07
"H2afz",3.95372405400497e-11,-0.314208594684901,1,1,6.25558219824666e-07
"March2",4.49085401094159e-11,0.423350981882372,0.844,0.757,7.10542921611178e-07
"Drap1",4.6559310031564e-11,0.181236105902259,1,1,7.36661403319406e-07
"Sh3d19",4.74082439951543e-11,0.545538324799863,0.741,0.636,7.50093236491331e-07
"Trim2",4.88544293952156e-11,-1.16714161983765,0.087,0.195,7.72974781891101e-07
"Ppil1",4.98881081712452e-11,-0.367401245727852,0.87,0.936,7.89329647485441e-07
"Mmp11",4.99923745209831e-11,-1.19571077203443,0.102,0.215,7.90979349670994e-07
"Pnkd",5.14755049913911e-11,0.257306465909197,0.993,0.99,8.1444543997379e-07
"Nutf2",5.23677953574297e-11,-0.891741180799749,0.201,0.338,8.28563258145253e-07
"Pias4",5.2556961923615e-11,-0.417115478920097,0.617,0.746,8.31556251555436e-07
"Ndufa12",5.5175651159617e-11,0.124634834026024,1,1,8.7298915264746e-07
"2610318N02Rik",5.60689976116288e-11,-1.07618145794236,0.141,0.264,8.8712368021119e-07
"Igfbp5",5.75080267117332e-11,-0.55220113723853,0.586,0.72,9.09891998633043e-07
"Hspa8",5.96500319250967e-11,-0.155496364868628,1,1,9.4378280511888e-07
"Npm3",5.97115662950057e-11,-0.221729925911994,0.993,0.996,9.44756401919581e-07
"Hist1h2bc",6.02271813378416e-11,0.700026613666558,0.775,0.686,9.5291446312733e-07
"Mgea5",6.67896399966685e-11,0.373500028490641,0.908,0.851,1.05674568402729e-06
"Fdft1",6.68486709123373e-11,-0.316415633523857,0.923,0.964,1.057679671175e-06
"Msantd2",6.71976874882949e-11,-0.593564325290057,0.365,0.531,1.0632018114398e-06
"Snf8",6.83818859986908e-11,0.245279931234178,0.99,0.98,1.08193820027129e-06
"St8sia1",6.86765228675573e-11,-0.522459420663069,0.508,0.666,1.08659994481049e-06
"Ube2ql1",7.01657206973838e-11,1.46539149667081,0.275,0.139,1.11016203287401e-06
"Zfp36l1",7.12493544655974e-11,0.462706619222822,0.917,0.877,1.12730728635468e-06
"Tnik",7.50209408056401e-11,0.395351491072573,0.931,0.879,1.18698132542684e-06
"Ranbp2",7.51991294947357e-11,-0.453969705934544,0.625,0.755,1.18980062686571e-06
"Zcchc11",7.57186729488768e-11,-0.356399122919833,0.759,0.865,1.19802084339713e-06
"Rps18",7.59437934818606e-11,-0.0941098528042579,1,1,1.20158270047e-06
"Mrpl21",7.73302129601413e-11,-0.203049952501572,0.991,0.994,1.22351862945536e-06
"Kirrel",7.73717790506456e-11,-0.900589689254717,0.159,0.29,1.22417628813931e-06
"Scn1b",7.73887389153555e-11,0.836001474615036,0.542,0.394,1.22444462711876e-06
"Ccnd1",8.17947417862461e-11,0.39694820000307,0.995,0.978,1.29415640454199e-06
"Rsbn1",8.39778277745659e-11,-0.449080254384086,0.6,0.75,1.32869719104918e-06
"Usp14",8.55021632363295e-11,-0.250043238009095,0.98,0.99,1.35281522672521e-06
"Crmp1",8.76585225221104e-11,-0.928264054459629,0.152,0.278,1.38693314334483e-06
"Gm12184",9.21973153171517e-11,-1.06309025654968,0.102,0.215,1.45874592294797e-06
"Evi5",9.4971403976922e-11,0.314319474597796,0.959,0.954,1.50263755372286e-06
"Psmd6",9.67874777587389e-11,-0.180657630460748,0.999,1,1.53137147309877e-06
"Dbx2",1.02868617763257e-10,2.739874695351,0.102,0.012,1.62758727025026e-06
"Bmp1",1.03450142514315e-10,0.354991189962858,0.934,0.893,1.63678815486148e-06
"Bmper",1.04946229657212e-10,-0.895216517155865,0.242,0.384,1.6604592456364e-06
"Snrpe",1.04960227754235e-10,-0.138280218012106,1,1,1.66068072352751e-06
"Hes6",1.06358439026972e-10,-0.588700287939185,0.954,0.958,1.68280322228475e-06
"Tgfbr2",1.06599500435664e-10,-0.455962891986278,0.707,0.821,1.68661729589307e-06
"Tmem123",1.06607729237111e-10,-0.429958441018161,0.651,0.773,1.68674749198957e-06
"Atf4",1.07708316086321e-10,-0.34598834700398,0.958,0.974,1.70416097711776e-06
"Nabp2",1.08073988715394e-10,-0.231665936944537,0.982,0.988,1.70994664945497e-06
"Eif3i",1.11619171546794e-10,-0.121287004467888,1,1,1.76603853221338e-06
"Actg1",1.11988502294592e-10,-0.152815647120088,1,1,1.77188208330503e-06
"Nrxn1",1.12517298382725e-10,0.361295366206567,0.982,0.968,1.78024869501148e-06
"Chpf",1.14139043873684e-10,0.433757328699917,0.826,0.724,1.80590795216943e-06
"Serf1",1.19395024275001e-10,0.308494801898656,0.941,0.907,1.88906807407906e-06
"Spock2",1.19894884125867e-10,-1.54724532900711,0.043,0.123,1.89697685663947e-06
"Reep5",1.21308269264485e-10,0.192947588630956,1,1,1.91933943630268e-06
"En1",1.27505498752712e-10,-0.676186839253622,0.377,0.513,2.01739200126541e-06
"Myo6",1.27535219194831e-10,0.363611849301148,0.914,0.891,2.01786223810061e-06
"Proser1",1.27908622156997e-10,0.493464120010853,0.76,0.682,2.023770219768e-06
"Rpl6",1.29131889203775e-10,-0.0808222066862907,1,1,2.04312475098213e-06
"Gm4737",1.30251361984981e-10,-0.586718368980509,0.423,0.573,2.06083704932637e-06
"Wdr4",1.36149250100564e-10,-0.469781105492465,0.517,0.668,2.15415343509112e-06
"Mum1l1",1.37773953015572e-10,-0.856693021836011,0.235,0.372,2.17985948461238e-06
"Tmem184c",1.37774745689781e-10,0.375552861908996,0.877,0.817,2.17987202630371e-06
"Lrrc17",1.38523424248768e-10,-2.30213283117058,0.014,0.068,2.191717618464e-06
"Gm9008",1.42273128166547e-10,-0.937212127981309,0.189,0.318,2.25104543385111e-06
"Stmn3",1.48362325136956e-10,-1.21902663943321,0.241,0.368,2.34738870831692e-06
"Bcl11b",1.4892668613397e-10,-0.780514743549237,0.21,0.354,2.35631802801167e-06
"Calm3",1.52583045603562e-10,0.171499457356758,1,0.998,2.41416894753956e-06
"Snapc3",1.525864715793e-10,-0.461726723834374,0.553,0.684,2.41422315332768e-06
"Ss18l2",1.56565792548362e-10,0.35596212060034,0.947,0.907,2.47718396970019e-06
"Smim8",1.57140106668144e-10,0.376168025911321,0.879,0.835,2.48627076770338e-06
"Ftl1-ps1",1.62375478775367e-10,-0.129453870743204,1,1,2.56910482518386e-06
"Sema5b",1.74080341164859e-10,-0.654447088665379,0.352,0.507,2.7542991579104e-06
"Bcl11a",1.76391548500245e-10,-0.698872671690592,0.29,0.435,2.79086708037088e-06
"Rcor2",1.81936029976141e-10,-0.54534579609163,0.439,0.581,2.8785918662825e-06
"Rps24",1.8695391268251e-10,-0.0690556799237889,1,1,2.95798480646267e-06
"Fam181b",1.88889195481735e-10,0.269779770505953,0.995,0.984,2.98860485091202e-06
"Acat1",1.93926930906537e-10,-0.235388170819975,0.947,0.984,3.06831190080323e-06
"Csrnp1",1.93927532290652e-10,1.94549452726498,0.151,0.044,3.0683214159027e-06
"Bccip",1.95389591105935e-10,-0.260772298293118,0.918,0.956,3.0914541104781e-06
"Fbxl7",2.00145634428332e-10,-0.713734318010386,0.445,0.569,3.16670422792506e-06
"Marf1",2.0027640740429e-10,-0.647134560957268,0.389,0.531,3.16877331795068e-06
"Gm26724",2.01875682198019e-10,-1.37591075731013,0.069,0.163,3.19407704373706e-06
"Pfdn5",2.03016814893321e-10,0.127676215299895,1,1,3.21213204524213e-06
"Smpdl3a",2.03694337574636e-10,-0.874039179066289,0.17,0.298,3.2228518091059e-06
"Rrm2",2.05090700894079e-10,-0.614488700228665,0.676,0.785,3.24494506954612e-06
"Prmt5",2.08430116115452e-10,-0.313674991992599,0.854,0.94,3.29778129717869e-06
"Cdk2",2.08998004036801e-10,-0.661384859691536,0.348,0.491,3.30676641987027e-06
"Gm14418",2.10039321748669e-10,0.685419878354691,0.47,0.31,3.32324214870743e-06
"Insig1",2.11456987380169e-10,0.30885314156031,0.949,0.899,3.34567245432903e-06
"Dnajb9",2.16816563665498e-10,0.567915998950584,0.712,0.61,3.43047167031552e-06
"Kiz",2.25849599744711e-10,0.621070419573544,0.745,0.688,3.57339236716082e-06
"BC029722",2.27330507696679e-10,0.562165887713471,0.635,0.493,3.59682329277685e-06
