"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hnrnpm",9.76104273369089e-25,-0.305379672728083,0.997,1,1.54439218132457e-20
"1500015O10Rik",1.05031125400083e-24,0.805885730439417,0.993,0.974,1.66180246608012e-20
"Plekhb1",1.15502473457466e-24,0.772567267656251,0.86,0.736,1.82748013504403e-20
"Lyplal1",1.19067612076178e-24,-0.851159370023121,0.307,0.573,1.88388775826929e-20
"Bod1l",1.38091123593634e-24,-0.446768955207417,0.966,0.984,2.18487775749848e-20
"Atp1b2",1.53070227206681e-24,1.15519317525998,0.698,0.509,2.4218771348641e-20
"Ndn",1.63213179208057e-24,-0.61679383362573,0.631,0.901,2.58235892142987e-20
"Hnrnpa3",1.65015155514046e-24,-0.285472764770703,1,1,2.61086979054324e-20
"Mt1",1.84634703492068e-24,0.63727377556746,0.993,0.958,2.92129027865151e-20
"B9d1",1.8565604822534e-24,-0.594060484410971,0.749,0.909,2.93744999502133e-20
"Magoh",1.94591738772334e-24,-0.396552848363241,0.969,0.994,3.07883049085588e-20
"Hsph1",2.44927594611422e-24,-0.609865399638427,0.749,0.913,3.87524440194191e-20
"Aes",2.64045564953997e-24,0.30745979595211,1,1,4.17772892870214e-20
"Tuba1b",2.68519318004109e-24,-0.609191404754486,0.999,0.996,4.24851264946102e-20
"Ewsr1",3.15043818185958e-24,-0.330580186494856,0.995,0.998,4.98462329133822e-20
"Rps27a",3.3797029426857e-24,-0.127754731613879,1,1,5.34736599591732e-20
"Slc35f1",3.69910292035822e-24,-1.77450350551537,0.087,0.26,5.85272064059077e-20
"Maea",4.23548255467952e-24,-0.464260141889337,0.914,0.966,6.70138049801393e-20
"Per1",4.53705712018513e-24,1.5486987570884,0.418,0.177,7.17853177555691e-20
"Qk",5.4885768604239e-24,0.292774292205038,1,1,8.6840263085627e-20
"Ispd",6.31269533663219e-24,-2.02279661300769,0.049,0.195,9.98794656161945e-20
"3830406C13Rik",8.3773456870172e-24,-0.73270816554908,0.466,0.718,1.32546363459986e-19
"Nptx1",8.49810155525702e-24,0.824498205145602,0.89,0.7,1.34456962807277e-19
"Efs",9.44052798045089e-24,-1.02452494897733,0.339,0.565,1.49368033706694e-19
"Lamtor4",1.04024136056317e-23,0.343924388566743,0.999,0.994,1.64586988068305e-19
"Cdk1",1.08116475021847e-23,-1.38695340315723,0.622,0.767,1.71061886779566e-19
"Gm2a",1.14334431654515e-23,0.843499256969789,0.767,0.602,1.80899937763774e-19
